,Field,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
706,rest,0,"S Ganesan, RK Chellappan","Morphological, biochemical and antioxidant enzyme adaptation of Suaeda maritima growing in textile dye effluent irrigated soil",2018,Indian journal of plant physiology,Springer,https://link.springer.com/article/10.1007/s40502-017-0317-9,,220,2019-09-07 23:54:23,,,,,,,,,0,0,0,2,1
620,ag,7,"S Karakas, MA Cullu, C Kaya, M Dikilitas",Halophytic companion plants improve growth and physiological parameters of tomato plants grown under salinity,2016,Pak. J. Bot,researchgate.net,https://www.researchgate.net/profile/Cengiz_Kaya3/publication/299364896_Halophytic_companion_plants_improve_growth_and_physiological_parameters_of_tomato_plants_grown_under_salinity/links/571f57f908aefa64889a7187/Halophytic-companion-plants-improve-growth-and-physiological-parameters-of-tomato-plants-grown-under-salinity.pdf,"https://scholar.google.com/scholar?cites=12587139860769305164&as_sdt=2005&sciodt=0,5&hl=en",221,2019-09-07 23:36:05,PDF,,,,,,,,7,2.33,2,4,3
662,rest,0,"K ROY, S IWATA, Y KATO",The Effects of Land Restoration on Soil Fertility in Tsunami-inundated Farmlands of Miyagi Prefecture in Japan,2017,International Journal of …,researchgate.net,https://www.researchgate.net/profile/Kingshuk_Roy/publication/322929960_The_Effects_of_Land_Restoration_on_Soil_Fertility_in_Tsunami-inundated_Farmlands_of_Miyagi_Prefecture_in_Japan/links/5a7901f8a6fdcc4ffe90bd17/The-Effects-of-Land-Restoration-on-Soil-Fertility-in-Tsunami-inundated-Farmlands-of-Miyagi-Prefecture-in-Japan.pdf,,221,2019-09-07 23:54:23,PDF,,,,,,,,0,0,0,3,2
348,rest,1,"ME Lucero, JR Barrow…",Examining Endophyte Interactions within Fourwing Saltbush (Atriplex canescens),2011,Natural Resources …,digitalcommons.usu.edu,https://digitalcommons.usu.edu/nrei/vol16/iss1/21/,"https://scholar.google.com/scholar?cites=17621280051864306170&as_sdt=2005&sciodt=0,5&hl=en",222,2019-09-07 23:54:23,,,,,,,,,1,0.13,0,3,8
681,ag,10,"F Al Marzooqi, LF Yousef",Biological response of a sandy soil treated with biochar derived from a halophyte (Salicornia bigelovii),2017,Applied soil ecology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0929139316304474,"https://scholar.google.com/scholar?cites=5131717160574794560&as_sdt=2005&sciodt=0,5&hl=en",222,2019-09-07 23:36:05,,,,,,,,,10,5,5,2,2
165,ag,6,V Sardo,Halophytes and salt-tolerant glycophytes a potential resource,2005,The use of non-conventional water resources. Bari …,ressources.ciheam.org,http://ressources.ciheam.org/om/pdf/a66/00800301.pdf,"https://scholar.google.com/scholar?cites=3684872570303297782&as_sdt=2005&sciodt=0,5&hl=en",223,2019-09-07 23:36:05,PDF,,,,,,,,6,0.43,6,1,14
753,rest,0,"K Isobe, E Nakajima, N Morita, S Kawakura…",Effects of NaCl on Growth and Cesium Absorption in Quinoa (Chenopodium quinoa Willd.),2019,"Water, Air, & Soil …",Springer,https://link.springer.com/article/10.1007/s11270-019-4120-2,,223,2019-09-07 23:54:23,HTML,,,,,,,,0,0,0,5,1
175,rest,8,"TA Aschenbach, K Kindscher","Plant species on salt-affected soil at Cheyenne Bottoms, Kansas",2006,Transactions of the Kansas Academy of …,BioOne,https://bioone.org/journals/Transactions-of-the-Kansas-Academy-of-Science/volume-109/issue-3/0022-8443(2006)109[207:PSOSSA]2.0.CO;2/Plant-species-on-salt-affected-soil-at-Cheyenne-Bottoms-Kansas/10.1660/0022-8443(2006)109[207:PSOSSA]2.0.CO;2.short,"https://scholar.google.com/scholar?cites=9817414529415792518&as_sdt=2005&sciodt=0,5&hl=en",224,2019-09-07 23:54:23,,,,,,,,,8,0.62,4,2,13
621,ag,8,"N Akinshina, A Azizov, T Karasyova, E Klose",On the issue of halophytes as energy plants in saline environment,2016,Biomass and Bioenergy,Elsevier,https://www.sciencedirect.com/science/article/pii/S096195341630188X,"https://scholar.google.com/scholar?cites=15279492100269768161&as_sdt=2005&sciodt=0,5&hl=en",224,2019-09-07 23:36:05,,,,,,,,,8,2.67,2,4,3
327,ag,5,"XQ Mo, HY Li",Application of wild halophytes in Tianjin coastal wetland,2010,Urban Environment & Urban Ecology,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-CHCS201002005.htm,"https://scholar.google.com/scholar?cites=8310976902471577567&as_sdt=2005&sciodt=0,5&hl=en",225,2019-09-07 23:36:05,,,,,,,,,5,0.56,3,2,9
431,rest,10,"J Paz-Ferreiro, H Lu, S Fu, A Méndez…",Use of phytoremediation and biochar to remediate heavy metal polluted soils: a review.,2013,Solid Earth …,researchgate.net,https://www.researchgate.net/profile/Ana_Mendez7/publication/260957443_Use_of_phytoremediation_and_biochar_to_remediate_heavy_metal_polluted_soils_A_review/links/571fcd8f08aeaced788aca8f.pdf,"https://scholar.google.com/scholar?cites=11046158526330472534&as_sdt=2005&sciodt=0,5&hl=en",225,2019-09-07 23:54:23,PDF,,,,,,,,10,1.67,2,5,6
405,ag,8,"VS Rathore, JP Singh, MM Roy","Haloxylon stocksii (Boiss.) Benth. et Hook. f., a promising halophyte: distribution, cultivation and utilization",2012,Genetic resources and crop evolution,Springer,https://link.springer.com/article/10.1007/s10722-012-9843-5,"https://scholar.google.com/scholar?cites=9228535412482300777&as_sdt=2005&sciodt=0,5&hl=en",226,2019-09-07 23:36:05,,,,,,,,,8,1.14,3,3,7
500,rest,23,"S Arora, MJ Vanza, R Mehta, C Bhuva, PN Patel",Halophilic microbes for bio-remediation of salt affected soils,2014,,krishi.icar.gov.in,http://krishi.icar.gov.in/jspui/handle/123456789/7268,"https://scholar.google.com/scholar?cites=274904691868684665&as_sdt=2005&sciodt=0,5&hl=en",226,2019-09-07 23:54:23,,,,,,,,,23,4.6,5,5,5
569,ag,8,"S Gairola, A Bhatt, A El-Keblawy",A perspective on potential use of halophytes for reclamation of salt-affected lands,2015,Wulfenia,researchgate.net,https://www.researchgate.net/profile/Arvind_Singh56/post/Is_there_any_work_related_to_saline_land_and_measures_to_overcome_from_this_problem/attachment/59d64acb79197b80779a5052/AS:477141558140937@1490770820246/download/Gairola+et+al+2015.pdf,"https://scholar.google.com/scholar?cites=8932416698577972111&as_sdt=2005&sciodt=0,5&hl=en",227,2019-09-07 23:36:05,PDF,,,,,,,,8,2,3,3,4
663,rest,47,"S Wu, H He, X Inthapanya, C Yang, L Lu…",Role of biochar on composting of organic wastes and remediation of contaminated soils—a review,2017,… Science and Pollution …,Springer,https://link.springer.com/article/10.1007/s11356-017-9168-1,"https://scholar.google.com/scholar?cites=14138270044909738679&as_sdt=2005&sciodt=0,5&hl=en",227,2019-09-07 23:54:23,,,,,,,,,47,23.5,8,6,2
501,rest,0,FF Congressi,Proceedings of 4th International Symposium on Sediment Management,2014,,researchgate.net,https://www.researchgate.net/profile/Emanuele_Ponis/publication/266209780_PHYTOREMEDIATION_TECHNIQUES_APPLIED_ON_VENICE_LAGOON%27S_SEDIMENTS_PRELIMINARY_RESULTS_OF_A_MESOCOSM_AND_FIELD_STUDY/links/583bf5e108ae3d9172423749/PHYTOREMEDIATION-TECHNIQUES-APPLIED-ON-VENICE-LAGOONS-SEDIMENTS-PRELIMINARY-RESULTS-OF-A-MESOCOSM-AND-FIELD-STUDY.pdf,,228,2019-09-07 23:54:23,PDF,,,,,,,,0,0,0,1,5
622,ag,12,"S Devi, AS Nandwal, R Angrish, SS Arya, ...",Phytoremediation potential of some halophytic species for soil salinity,2016,International journal …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/15226514.2015.1131229,"https://scholar.google.com/scholar?cites=10974232784164492538&as_sdt=2005&sciodt=0,5&hl=en",228,2019-09-07 23:36:05,,,,,,,,,12,4,2,5,3
102,rest,803,"C D'antonio, LA Meyerson",Exotic plant species as problems and solutions in ecological restoration: a synthesis,2002,Restoration Ecology,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1526-100X.2002.01051.x,"https://scholar.google.com/scholar?cites=12675180727582791189&as_sdt=2005&sciodt=0,5&hl=en",229,2019-09-07 23:54:23,,,,,,,,,803,47.24,402,2,17
328,ag,43,"M Kafi, H Asadi, A Ganjeali",Possible utilization of high-salinity waters and application of low amounts of water for production of the halophyte Kochia scoparia as alternative fodder in saline …,2010,Agricultural Water Management,Elsevier,https://www.sciencedirect.com/science/article/pii/S0378377409002522,"https://scholar.google.com/scholar?cites=8101775580605735166&as_sdt=2005&sciodt=0,5&hl=en",229,2019-09-07 23:36:05,,,,,,,,,43,4.78,14,3,9
149,ag,36,H Akhani,Halophytic vegetation of Iran: towards a syntaxonomical classification,2004,Annali di botanica,,,"https://scholar.google.com/scholar?cites=4927921384552268711&as_sdt=2005&sciodt=0,5&hl=en",230,2019-09-07 23:36:05,CITATION,,,,,,,,36,2.4,36,1,15
157,rest,7,"M Krishnapillai, RS Ranjan",Evaluating the phytoremediation potential of Atriplex patula on salt contaminated soil,2005,The Canadin Society Engineering …,csbe-scgab.ca,http://www.csbe-scgab.ca/docs/meetings/2005/05-052.pdf,"https://scholar.google.com/scholar?cites=9315281015456841801&as_sdt=2005&sciodt=0,5&hl=en",230,2019-09-07 23:54:23,PDF,,,,,,,,7,0.5,4,2,14
50,ag,40,"D Pasternak, A Nerd",Research and utilization of halophytes in Israel,1995,Halophytes and biosaline agriculture,books.google.com,https://books.google.com/books?hl=en&lr=&id=k_mW2p_KnaYC&oi=fnd&pg=PA325&dq=halophyte+agriculture&ots=q3GGd0A5Hh&sig=XtBktgS81Fdq8R6OPZYO6pD4cxo,"https://scholar.google.com/scholar?cites=10442748576616277654&as_sdt=2005&sciodt=0,5&hl=en",231,2019-09-07 23:36:05,,,,,,,,,40,1.67,20,2,24
787,rest,0,J GALLAGHER,"Improving Wetland Plants: A Good, Bad, or an “It Depends” Idea?",,NATIONAL WETLANDS NEWSLETTER,elr.info,https://elr.info/sites/default/files/gallagher.pdf,,231,2019-09-07 23:54:23,PDF,,,,,,,,0,0,0,1,
166,ag,297,"NB Amor, KB Hamed, A Debez, C Grignon, C Abdelly",Physiological and antioxidant responses of the perennial halophyte Crithmummaritimum to salinity,2005,Plant Science,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168945204004741,"https://scholar.google.com/scholar?cites=16179208628896086249&as_sdt=2005&sciodt=0,5&hl=en",232,2019-09-07 23:36:05,,,,,,,,,297,21.21,59,5,14
386,rest,22,"MV RamanaRao, D Weindorf, G Breitenbeck…",Differential Expression of the Transcripts of Spartina alterniflora Loisel (Smooth Cordgrass) Induced in Response to Petroleum Hydrocarbon,2012,Molecular …,Springer,https://link.springer.com/article/10.1007/s12033-011-9436-0,"https://scholar.google.com/scholar?cites=16220281754023526558&as_sdt=2005&sciodt=0,5&hl=en",232,2019-09-07 23:54:23,,,,,,,,,22,3.14,6,4,7
458,ag,8,"W Al-Yamani, S Kennedy, S Sgouridis, ...","A Land Suitability Study for the Sustainable Cultivation of the Halophyte Salicornia bigelovii: The Case of Abu Dhabi, UAE",2013,Arid land research and …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/15324982.2013.771230,"https://scholar.google.com/scholar?cites=13753793123003368052&as_sdt=2005&sciodt=0,5&hl=en",233,2019-09-07 23:36:05,,,,,,,,,8,1.33,2,4,6
664,rest,4,"TJ Purakayastha, A Mandal, S Kumari",Phytoremediation of metal-and salt-affected soils,2017,… of Salt Affected Soils: An Indian …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-48257-6_11,"https://scholar.google.com/scholar?cites=16370193252006157555&as_sdt=2005&sciodt=0,5&hl=en",233,2019-09-07 23:54:23,,,,,,,,,4,2,1,3,2
121,rest,21,"Z Xuejie, F Shoujin, L Fazeng",Development and Utilization of Suaede salsa in China [J],2003,Chinese Wild Plant Resources,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-ZYSZ200302000.htm,"https://scholar.google.com/scholar?cites=3285252294109615305&as_sdt=2005&sciodt=0,5&hl=en",234,2019-09-07 23:54:23,,,,,,,,,21,1.31,7,3,16
682,ag,25,"S Qin, WW Feng, TT Wang, P Ding, K Xing, JH Jiang",Plant growth-promoting effect and genomic analysis of the beneficial endophyte Streptomyces sp. KLBMP 5084 isolated from halophyte Limonium sinense,2017,Plant and soil,Springer,https://link.springer.com/article/10.1007/s11104-017-3192-2,"https://scholar.google.com/scholar?cites=18159287491730732074&as_sdt=2005&sciodt=0,5&hl=en",234,2019-09-07 23:36:05,,,,,,,,,25,12.5,4,6,2
141,rest,6,"Y HE, J XU, Z LI",Rhizosphere Stress Effect and Rhizoid-remediation of Organic Pollutants in Soil [J],2004,Chinese Journal of Soil Science,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-TRTB200405031.htm,"https://scholar.google.com/scholar?cites=6579942218791713862&as_sdt=2005&sciodt=0,5&hl=en",235,2019-09-07 23:54:23,,,,,,,,,6,0.4,2,3,15
216,ag,113,"I Slama, T Ghnaya, D Messedi, K Hessini, ...",Effect of sodium chloride on the response of the halophyte species Sesuvium portulacastrum grown in mannitol-induced water stress,2007,Journal of Plant …,Springer,https://link.springer.com/article/10.1007/s10265-006-0056-x,"https://scholar.google.com/scholar?cites=1909898062575287626&as_sdt=2005&sciodt=0,5&hl=en",235,2019-09-07 23:36:05,,,,,,,,,113,9.42,23,5,12
28,ag,34,RJ George,Estimating and modifying the effects of agricultural development on the groundwater balance of large wheatbelt catchments,1992,Applied Hydrogeology,Springer,https://link.springer.com/article/10.1007/s100400050026,"https://scholar.google.com/scholar?cites=7680994626184089444&as_sdt=2005&sciodt=0,5&hl=en",236,2019-09-07 23:36:05,,,,,,,,,34,1.26,34,1,27
387,rest,0,"NT Saxena, AE Thomas, S Johnson, JP Venners…",Green Planet Architecture-A Methodology for Self-Sustainable Distributed Renewable Energy Ecosystems,2012,,ntrs.nasa.gov,https://ntrs.nasa.gov/search.jsp?R=20120003419,,236,2019-09-07 23:54:23,,,,,,,,,0,0,0,5,7
67,ag,5,XWZZJ Huixian,Study on Root Anatomic Structure of Some Halophytes [J],1998,JOURNAL OF GANSU AGRICULTURAL …,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-GSND801.020.htm,"https://scholar.google.com/scholar?cites=14452364904420258638&as_sdt=2005&sciodt=0,5&hl=en",237,2019-09-07 23:36:05,,,,,,,,,5,0.24,5,1,21
349,rest,1,"B Chen, H Xu, Z Zhang",Laboratory experiments of cyclic electro-osmosis method on saline soil remediation,2011,2011 International Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5775968/,"https://scholar.google.com/scholar?cites=11725887380148094272&as_sdt=2005&sciodt=0,5&hl=en",237,2019-09-07 23:54:23,,,,,,,,,1,0.13,0,3,8
167,ag,10,"GG Rao, PR Patel, DL Bagdi, ...","Effect of saline water irrigation on growth, ion content and forage yield of halophytic grasses grown on saline black soil",2005,Indian Journal of Plant …,samviti.com,https://www.samviti.com/img/1341/society/publication/ijpp-10-4-002.pdf,"https://scholar.google.com/scholar?cites=6495823281062051379&as_sdt=2005&sciodt=0,5&hl=en",238,2019-09-07 23:36:05,PDF,,,,,,,,10,0.71,3,4,14
232,rest,38,"NP Yensen, KY Biel",Soil remediation via salt-conduction and the hypotheses of halosynthesis and photoprotection,2008,Ecophysiology of high salinity tolerant plants,Springer,https://link.springer.com/chapter/10.1007/1-4020-4018-0_21,"https://scholar.google.com/scholar?cites=14305004295276322196&as_sdt=2005&sciodt=0,5&hl=en",238,2019-09-07 23:54:23,,,,,,,,,38,3.45,19,2,11
683,ag,6,"NK Rao, I McCann, SA Shahid, KUR Butt, ...",Sustainable use of salt-degraded and abandoned farms for forage production using halophytic grasses,2017,Crop and Pasture …,CSIRO,http://www.publish.csiro.au/cp/CP16197,"https://scholar.google.com/scholar?cites=10948459094422603049&as_sdt=2005&sciodt=0,5&hl=en",239,2019-09-07 23:36:05,,,,,,,,,6,3,1,5,2
754,rest,0,"JS Jo, SH Pak",The use of the freshwater snail Ampullaria tischbeini (Dohrn) as a biological control agent for remediation of salt-affected soil,2019,Archives of Agronomy and Soil Science,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/03650340.2019.1575508,,239,2019-09-07 23:54:23,,,,,,,,,0,0,0,2,1
459,ag,8,"E Vermue, K Metselaar, S Van der Zee",Modelling of soil salinity and halophyte crop production,2013,Environmental and experimental …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0098847212002006,"https://scholar.google.com/scholar?cites=3093931489292014335&as_sdt=2005&sciodt=0,5&hl=en",240,2019-09-07 23:36:05,,,,,,,,,8,1.33,3,3,6
502,rest,113,"J Song, B Wang",Using euhalophytes to understand salt tolerance and to develop saline agriculture: Suaeda salsa as a promising model,2014,Annals of Botany,academic.oup.com,https://academic.oup.com/aob/article-abstract/115/3/541/2769109,"https://scholar.google.com/scholar?cites=9177648510193622227&as_sdt=2005&sciodt=0,5&hl=en",240,2019-09-07 23:54:23,,,,,,,,,113,22.6,57,2,5
134,ag,12,"MC Harrouni, S Daoud, HW Koyro",Effect of seawater irrigation on biomass production and ion composition of seven halophytic species in Morocco,2003,Cash crop halophytes: recent studies,Springer,https://link.springer.com/chapter/10.1007/978-94-017-0211-9_6,"https://scholar.google.com/scholar?cites=5780239920238155291&as_sdt=2005&sciodt=0,5&hl=en",241,2019-09-07 23:36:05,,,,,,,,,12,0.75,4,3,16
503,rest,0,"A Heckenroth, J Rabier…",Using local biodiversity to prevent pollution transfers to environmental components of a Mediterranean semi-arid ecosystem,2014,EGU General Assembly …,academia.edu,http://www.academia.edu/download/37686317/posterEGU.pdf,,241,2019-09-07 23:54:23,PDF,,,,,,,,0,0,0,3,5
36,rest,585,"SL Brown, RL Chaney, JS Angle…",Phytoremediation potential of Thlaspi caerulescens and bladder campion for zinc-and cadmium-contaminated soil,1994,Journal of …,dl.sciencesocieties.org,https://dl.sciencesocieties.org/publications/jeq/abstracts/23/6/JEQ0230061151,"https://scholar.google.com/scholar?cites=15808160341938925908&as_sdt=2005&sciodt=0,5&hl=en",242,2019-09-07 23:54:23,,,,,,,,,585,23.4,146,4,25
329,ag,19,"MN Grigore, C Toma, M Boscaiu","Dealing with halophytes: an old problem, the same continuous exciting challenge",2010,"Analele Stiintifice ale Universitatii"" …",riunet.upv.es,https://riunet.upv.es/handle/10251/101719,"https://scholar.google.com/scholar?cites=12517307697090707467&as_sdt=2005&sciodt=0,5&hl=en",242,2019-09-07 23:36:05,,,,,,,,,19,2.11,6,3,9
388,rest,0,JFS Freitas,Salt marshes role in Phosphorus cycling: importance to natural remediation of estuarine systems,2012,,repositorio.ul.pt,http://repositorio.ul.pt/handle/10451/7967,,243,2019-09-07 23:54:23,,,,,,,,,0,0,0,1,7
460,ag,12,"H Takagi, S Yamada",Roles of enzymes in anti-oxidative response system on three species of chenopodiaceous halophytes under NaCl-stress condition,2013,Soil science and plant nutrition,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/00380768.2013.809600,"https://scholar.google.com/scholar?cites=7138521324616191963&as_sdt=2005&sciodt=0,5&hl=en",243,2019-09-07 23:36:05,,,,,,,,,12,2,6,2,6
29,ag,73,"CB Michalowski, HJ Bohnert",Nucleotide sequence of a root-specific transcript encoding a germin-like protein from the halophyte Mesembryanthemum crystallinum,1992,Plant physiology,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1075585/,"https://scholar.google.com/scholar?cites=6683475366718553246&as_sdt=2005&sciodt=0,5&hl=en",244,2019-09-07 23:36:05,,,,,,,,,73,2.7,37,2,27
103,rest,132,"DM Seliskar, JL Gallagher, DM Burdick…",The regulation of ecosystem functions by ecotypic variation in the dominant plant: a Spartina alterniflora salt‐marsh case study,2002,Journal of …,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1046/j.0022-0477.2001.00632.x,"https://scholar.google.com/scholar?cites=9070368287667745630&as_sdt=2005&sciodt=0,5&hl=en",244,2019-09-07 23:54:23,,,,,,,,,132,7.76,33,4,17
305,rest,7,"O Dilly, S Nii-Annang, J Schrautzer…",Ecosystem manipulation and restoration on the basis of long-term conceptions,2010,Long-Term Ecological …,Springer,https://link.springer.com/chapter/10.1007/978-90-481-8782-9_28,"https://scholar.google.com/scholar?cites=11140297531938078696&as_sdt=2005&sciodt=0,5&hl=en",245,2019-09-07 23:54:23,,,,,,,,,7,0.78,2,4,9
406,ag,26,"B Jha, NP Singh, A Mishra","Proteome profiling of seed storage proteins reveals the nutritional potential of Salicornia brachiata Roxb., an extreme halophyte",2012,… of agricultural and food chemistry,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/jf203632v,"https://scholar.google.com/scholar?cites=3523711844829822650&as_sdt=2005&sciodt=0,5&hl=en",245,2019-09-07 23:36:05,,,,,,,,,26,3.71,9,3,7
295,ag,5,HA Ling-jin,Study on the Four Halophyte Species Growth Under salt Stress and its Salt Tolerance [J],2009,Journal of Anhui Agricultural Sciences,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-AHNY200912057.htm,"https://scholar.google.com/scholar?cites=2489584460530972981&as_sdt=2005&sciodt=0,5&hl=en",246,2019-09-07 23:36:05,,,,,,,,,5,0.5,5,1,10
306,rest,21,"K Sakadevan, ML Nguyen","Extent, impact, and response to soil and water salinity in arid and semiarid regions",2010,Advances in Agronomy,Elsevier,https://www.sciencedirect.com/science/article/pii/B9780123850409000025,"https://scholar.google.com/scholar?cites=3019184928109288310&as_sdt=2005&sciodt=0,5&hl=en",246,2019-09-07 23:54:23,,,,,,,,,21,2.33,11,2,9
260,ag,1539,"TJ Flowers, TD Colmer",Salinity tolerance in halophytes,2008,New Phytologist,JSTOR,https://www.jstor.org/stable/25150520,"https://scholar.google.com/scholar?cites=11566588319030305419&as_sdt=2005&sciodt=0,5&hl=en",247,2019-09-07 23:36:05,,,,,,,,,1539,139.91,770,2,11
665,rest,0,"EG Mirvat, MM Tawfik, AT Thalooth…",Combating Desertification Through Sustainable Use of Saline Habitats,2017,International Journal of …,psipw.org,https://www.psipw.org/attachments/article/398/14e.pdf,,247,2019-09-07 23:54:23,PDF,,,,,,,,0,0,0,4,2
370,ag,11,"C Cassaniti, D Romano",The use of halophytes for Mediterranean landscaping,2011,Proceedings of the European COST Action …,academia.edu,http://www.academia.edu/download/45401781/EJPSB_5SI257-63o.pdf,"https://scholar.google.com/scholar?cites=8862700853228095387&as_sdt=2005&sciodt=0,5&hl=en",248,2019-09-07 23:36:05,PDF,,,,,,,,11,1.38,6,2,8
755,rest,0,M Nasr,Environmental Perspectives of Plant-Microbe Nexus for Soil and Water Remediation,2019,Microbiome in Plant Health and Disease,Springer,https://link.springer.com/chapter/10.1007/978-981-13-8495-0_18,,248,2019-09-07 23:54:23,,,,,,,,,0,0,0,1,1
570,ag,41,"S Saikachout, A Benmansoura, A Ennajah, ...",Effects of Metal Toxicity on Growth and Pigment Contents of Annual Halophyte (A. hortensis and A. rosea).,2015,International Journal of …,ijer.ut.ac.ir,http://ijer.ut.ac.ir/article_936_1c4e0fd934c64337f4c1ad3a661308f3.pdf,"https://scholar.google.com/scholar?cites=5831617861907242714&as_sdt=2005&sciodt=0,5&hl=en",249,2019-09-07 23:36:05,PDF,,,,,,,,41,10.25,10,4,4
707,rest,1,MK Abdel-Fattah,Reclamation of Saline-Sodic Soils for Sustainable Agriculture in Egypt,2018,Sustainability of Agricultural Environment in Egypt: Part …,Springer,https://link.springer.com/chapter/10.1007/698_2018_310,"https://scholar.google.com/scholar?cites=6408867257031103237&as_sdt=2005&sciodt=0,5&hl=en",249,2019-09-07 23:54:23,,,,,,,,,1,1,1,1,1
122,rest,2,AJ Davy,Responses of salt marshes to change,2003,http://www. icef. eawag. ch/abstracts/davy. pdf. Viewed,,,"https://scholar.google.com/scholar?cites=13821812623761357404&as_sdt=2005&sciodt=0,5&hl=en",250,2019-09-07 23:54:23,CITATION,,,,,,,,2,0.13,2,1,16
571,ag,28,"AK Buhmann, U Waller, B Wecker, ...",Optimization of culturing conditions and selection of species for the use of halophytes as biofilter for nutrient-rich saline water,2015,Agricultural Water …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0378377414003527,"https://scholar.google.com/scholar?cites=11550248522542572648&as_sdt=2005&sciodt=0,5&hl=en",250,2019-09-07 23:36:05,,,,,,,,,28,7,7,4,4
1,ag,246,AG Khan,"The occurrence of mycorrhizas in halophytes, hydrophytes and xerophytes, and of Endogone spores in adjacent soils",1974,Microbiology,mic.microbiologyresearch.org,https://mic.microbiologyresearch.org/content/journal/micro/10.1099/00221287-81-1-7,"https://scholar.google.com/scholar?cites=8056930605487373603&as_sdt=2005&sciodt=0,5&hl=en",251,2019-09-07 23:36:05,,,,,,,,,246,5.47,246,1,45
756,rest,0,"CA Pedro, SC Gonçalves",The Role of Aquatic Macrophytes in Cadmium Phytoremediation of Contaminated Estuarine Environments,2019,Cadmium Toxicity and Tolerance in Plants,Elsevier,https://www.sciencedirect.com/science/article/pii/B978012814864800022X,,251,2019-09-07 23:54:23,,,,,,,,,0,0,0,2,1
51,ag,58,HM Page,"Variation in the natural abundance of 15N in the halophyte, Salicornia virginica, associated with groundwater subsidies of nitrogen in a southern California salt …",1995,Oecologia,Springer,https://link.springer.com/article/10.1007/BF00328583,"https://scholar.google.com/scholar?cites=1721748769658028081&as_sdt=2005&sciodt=0,5&hl=en",252,2019-09-07 23:36:05,,,,,,,,,58,2.42,58,1,24
757,rest,0,"AM Shackira, JT Puthur",Phytostabilization of Heavy Metals: Understanding of Principles and Practices,2019,Plant-Metal Interactions,Springer,https://link.springer.com/chapter/10.1007/978-3-030-20732-8_13,,252,2019-09-07 23:54:23,,,,,,,,,0,0,0,2,1
150,ag,440,"G Inan, Q Zhang, P Li, Z Wang, Z Cao, H Zhang, ...",Salt cress. A halophyte and cryophyte Arabidopsis relative model system and its applicability to molecular genetic analyses of growth and development of …,2004,Plant …,Am Soc Plant Biol,http://www.plantphysiol.org/content/135/3/1718.short,"https://scholar.google.com/scholar?cites=15199772013942494398&as_sdt=2005&sciodt=0,5&hl=en",253,2019-09-07 23:36:05,,,,,,,,,440,29.33,63,7,15
280,rest,7,International Maritime Organization,IMO/UNEP Guidance Manual on the Assessment and Restoration of Environmental Damage Following Marine Oil Spills,2009,,books.google.com,https://books.google.com/books?hl=en&lr=&id=QWGFqnvEGdoC&oi=fnd&pg=PA1&dq=halophyte+restoration+remediation&ots=Rwj8jXK7mT&sig=6qTsoKRWqgIDeb_ZfBIg3XzJNb0,"https://scholar.google.com/scholar?cites=18440118950340719240&as_sdt=2005&sciodt=0,5&hl=en",253,2019-09-07 23:54:23,BOOK,,,,,,,,7,0.7,7,1,10
407,ag,86,"S Oueslati, R Ksouri, H Falleh, A Pichette, C Abdelly, ...","Phenolic content, antioxidant, anti-inflammatory and anticancer activities of the edible halophyte Suaeda fruticosa Forssk",2012,Food Chemistry,Elsevier,https://www.sciencedirect.com/science/article/pii/S0308814611016542,"https://scholar.google.com/scholar?cites=12419069102993213121&as_sdt=2005&sciodt=0,5&hl=en",254,2019-09-07 23:36:05,,,,,,,,,86,12.29,14,6,7
598,rest,1,"JH Choi, YJ Lee, S Maruthamuthu…",Restoration of saline greenhouse soil and its effect on crop's growth through in situ field-scale electrokinetic technology,2016,Separation Science …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/01496395.2016.1141958,"https://scholar.google.com/scholar?cites=10089564475020325881&as_sdt=2005&sciodt=0,5&hl=en",254,2019-09-07 23:54:23,,,,,,,,,1,0.33,0,4,3
